symbol,source,baseVolume,volumeMiniMove,priceMiniMove
ltc_usdt,huobi,0.0001,0.0001,0.01
eos_usdt,huobi,0.0001,0.0001,0.0001
neo_usdt,huobi,0.0001,0.0001,0.01
eos_eth,huobinew,0.0001,0.0001,0.0001
eth_usdt,huobinew,0.0001,0.0001,0.01
BTC@t,huobi,1,1,0.01
BTC@n,huobi,1,1,0.01
BTC@q,huobi,1,1,0.01
ETH@t,huobi,1,1,0.001
ETH@n,huobi,1,1,0.001
ETH@q,huobi,1,1,0.001
EOS@t,huobi,1,1,0.001
EOS@n,huobi,1,1,0.001
EOS@q,huobi,1,1,0.001
eos_eth,bitfinex,0.0001,0.0001,0.0001
eth_usdt,bitfinex,0.0001,0.0001,0.01
dft_usdt,dgf,0.0001,0.0001,0.01
usdt_tusd,dgf,2,0.0001,0.0001
pax_usdt,binance,20,0.01,0.0001
btc_pax,binance,0.003,0.000001,0.01
eth_usdt,binance,0.003,0.000001,0.01

